entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
geobounds,leftschema,vertex-lz3i,False,,False,geobounds,mergedschema,vertex-fepr
geo_ewkb,leftschema,vertex-lz3i,False,,False,geo_ewkb,mergedschema,vertex-fepr
fips_code,leftschema,vertex-lz3i,False,,False,fips_code,mergedschema,vertex-fepr
fips_muni_code,leftschema,vertex-lz3i,False,,,,,
fips_state_code,leftschema,vertex-lz3i,False,,,,,
parcel_apn,leftschema,vertex-lz3i,False,,False,parcel_apn,mergedschema,vertex-fepr
parcel_apn,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
master_parcel_apn,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
county,leftschema,vertex-lz3i,False,,,,,
taxapn,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
taxapn_unf,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
unique_taxapn,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
alternate_taxapn,leftschema,vertex-lz3i,False,,False,prop_apn,rightschema,vertex-9p8g
dupe_taxapn_seq,leftschema,vertex-lz3i,False,,,,,
multi_taxapn_flag,leftschema,vertex-lz3i,False,,,,,
site_addr,leftschema,vertex-lz3i,False,,,,,
site_house_number,leftschema,vertex-lz3i,False,,,,,
site_direction,leftschema,vertex-lz3i,False,,,,,
site_street_name,leftschema,vertex-lz3i,False,,,,,
site_mode,leftschema,vertex-lz3i,False,,,,,
site_carrier_code,leftschema,vertex-lz3i,False,,,,,
site_quadrant,leftschema,vertex-lz3i,False,,,,,
site_unit_prefix,leftschema,vertex-lz3i,False,,,,,
site_unit_number,leftschema,vertex-lz3i,False,,,,,
site_city,leftschema,vertex-lz3i,False,,,,,
site_state,leftschema,vertex-lz3i,False,,,,,
site_zip,leftschema,vertex-lz3i,False,,,,,
site_plus_4,leftschema,vertex-lz3i,False,,,,,
_x_coord,leftschema,vertex-lz3i,False,,,,,
_y_coord,leftschema,vertex-lz3i,False,,,,,
geometry_source,leftschema,vertex-lz3i,False,,,,,
addr_score,leftschema,vertex-lz3i,False,,,,,
township,leftschema,vertex-lz3i,False,,False,township,mergedschema,vertex-fepr
range,leftschema,vertex-lz3i,False,,,,,
section,leftschema,vertex-lz3i,False,,,,,
census_tract,leftschema,vertex-lz3i,False,,,,,
census_block_group,leftschema,vertex-lz3i,False,,,,,
block_number,leftschema,vertex-lz3i,False,,,,,
owner_name,leftschema,vertex-lz3i,False,,,,,
owner_name_1,leftschema,vertex-lz3i,False,,False,owner_name_1,mergedschema,vertex-fepr
owner_name_2,leftschema,vertex-lz3i,False,,False,owner_name_2,mergedschema,vertex-fepr
owner_1_first,leftschema,vertex-lz3i,False,,,,,
owner_1_last,leftschema,vertex-lz3i,False,,,,,
owner_1_mid,leftschema,vertex-lz3i,False,,,,,
owner_2_first,leftschema,vertex-lz3i,False,,,,,
owner_2_last,leftschema,vertex-lz3i,False,,,,,
owner_2_mid,leftschema,vertex-lz3i,False,,,,,
mail_addr,leftschema,vertex-lz3i,False,,,,,
mail_house_number,leftschema,vertex-lz3i,False,,,,,
mail_house_number_suffix,leftschema,vertex-lz3i,False,,,,,
mail_direction,leftschema,vertex-lz3i,False,,,,,
mail_street_name,leftschema,vertex-lz3i,False,,,,,
mail_mode,leftschema,vertex-lz3i,False,,,,,
mail_quadrant,leftschema,vertex-lz3i,False,,,,,
mail_crrt,leftschema,vertex-lz3i,False,,,,,
mail_city,leftschema,vertex-lz3i,False,,,,,
mail_state,leftschema,vertex-lz3i,False,,,,,
mail_zip,leftschema,vertex-lz3i,False,,,,,
mail_plus_4,leftschema,vertex-lz3i,False,,,,,
mail_unit_prefix,leftschema,vertex-lz3i,False,,,,,
mail_unit_number,leftschema,vertex-lz3i,False,,,,,
mail_care_of_name,leftschema,vertex-lz3i,False,,,,,
owner_occupied,leftschema,vertex-lz3i,False,,,,,
owner_src_code,leftschema,vertex-lz3i,False,,,,,
use_code_muni_desc,leftschema,vertex-lz3i,False,,,,,
use_code_muni,leftschema,vertex-lz3i,False,,,,,
use_code_std_lps,leftschema,vertex-lz3i,False,,,,,
use_code_std_desc_lps,leftschema,vertex-lz3i,False,,,,,
use_code_std_ctgr_desc_lps,leftschema,vertex-lz3i,False,,,,,
use_code_std_ctgr_lps,leftschema,vertex-lz3i,False,,,,,
assessee_owner_name_1,leftschema,vertex-lz3i,False,,,,,
assessee_owner_name_2,leftschema,vertex-lz3i,False,,,,,
assessee_owner_vesting_code,leftschema,vertex-lz3i,False,,,,,
assessee_owner_vesting_code_desc,leftschema,vertex-lz3i,False,,,,,
tax_acct_nbr,leftschema,vertex-lz3i,False,,,,,
asmt_mail_care_of_name,leftschema,vertex-lz3i,False,,,,,
asmt_mail_house_number,leftschema,vertex-lz3i,False,,,,,
asmt_mail_direction,leftschema,vertex-lz3i,False,,,,,
