entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
geobounds,leftschema,vtx_type-bpby,False,,,,,
geo_ewkb,leftschema,vtx_type-bpby,False,,,,,
fips_code,leftschema,vtx_type-bpby,False,,,,,
fips_muni_code,leftschema,vtx_type-bpby,False,,,,,
fips_state_code,leftschema,vtx_type-bpby,False,,,,,
parcel_apn,leftschema,vtx_type-bpby,False,,,,,
master_parcel_apn,leftschema,vtx_type-bpby,False,,,,,
county,leftschema,vtx_type-bpby,False,,,,,
taxapn,leftschema,vtx_type-bpby,False,,,,,
taxapn_unf,leftschema,vtx_type-bpby,False,,,,,
unique_taxapn,leftschema,vtx_type-bpby,False,,,,,
alternate_taxapn,leftschema,vtx_type-bpby,False,,,,,
dupe_taxapn_seq,leftschema,vtx_type-bpby,False,,,,,
multi_taxapn_flag,leftschema,vtx_type-bpby,False,,,,,
site_addr,leftschema,vtx_type-bpby,False,,,,,
site_house_number,leftschema,vtx_type-bpby,False,,,,,
site_direction,leftschema,vtx_type-bpby,False,,,,,
site_street_name,leftschema,vtx_type-bpby,False,,,,,
site_mode,leftschema,vtx_type-bpby,False,,,,,
site_carrier_code,leftschema,vtx_type-bpby,False,,,,,
site_quadrant,leftschema,vtx_type-bpby,False,,,,,
site_unit_prefix,leftschema,vtx_type-bpby,False,,,,,
site_unit_number,leftschema,vtx_type-bpby,False,,,,,
site_city,leftschema,vtx_type-bpby,False,,,,,
site_state,leftschema,vtx_type-bpby,False,,,,,
site_zip,leftschema,vtx_type-bpby,False,,,,,
site_plus_4,leftschema,vtx_type-bpby,False,,,,,
_x_coord,leftschema,vtx_type-bpby,False,,,,,
_y_coord,leftschema,vtx_type-bpby,False,,,,,
geometry_source,leftschema,vtx_type-bpby,False,,,,,
addr_score,leftschema,vtx_type-bpby,False,,,,,
township,leftschema,vtx_type-bpby,False,,,,,
range,leftschema,vtx_type-bpby,False,,,,,
section,leftschema,vtx_type-bpby,False,,,,,
census_tract,leftschema,vtx_type-bpby,False,,,,,
census_block_group,leftschema,vtx_type-bpby,False,,,,,
block_number,leftschema,vtx_type-bpby,False,,,,,
owner_name,leftschema,vtx_type-bpby,False,,,,,
owner_name_1,leftschema,vtx_type-bpby,False,,,,,
owner_name_2,leftschema,vtx_type-bpby,False,,,,,
owner_1_first,leftschema,vtx_type-bpby,False,,,,,
owner_1_last,leftschema,vtx_type-bpby,False,,,,,
owner_1_mid,leftschema,vtx_type-bpby,False,,,,,
owner_2_first,leftschema,vtx_type-bpby,False,,,,,
owner_2_last,leftschema,vtx_type-bpby,False,,,,,
owner_2_mid,leftschema,vtx_type-bpby,False,,,,,
mail_addr,leftschema,vtx_type-bpby,False,,,,,
mail_house_number,leftschema,vtx_type-bpby,False,,,,,
mail_house_number_suffix,leftschema,vtx_type-bpby,False,,,,,
mail_direction,leftschema,vtx_type-bpby,False,,,,,
mail_street_name,leftschema,vtx_type-bpby,False,,,,,
mail_mode,leftschema,vtx_type-bpby,False,,,,,
mail_quadrant,leftschema,vtx_type-bpby,False,,,,,
mail_crrt,leftschema,vtx_type-bpby,False,,,,,
mail_city,leftschema,vtx_type-bpby,False,,,,,
mail_state,leftschema,vtx_type-bpby,False,,,,,
mail_zip,leftschema,vtx_type-bpby,False,,,,,
mail_plus_4,leftschema,vtx_type-bpby,False,,,,,
mail_unit_prefix,leftschema,vtx_type-bpby,False,,,,,
mail_unit_number,leftschema,vtx_type-bpby,False,,,,,
mail_care_of_name,leftschema,vtx_type-bpby,False,,,,,
owner_occupied,leftschema,vtx_type-bpby,False,,,,,
owner_src_code,leftschema,vtx_type-bpby,False,,,,,
use_code_muni_desc,leftschema,vtx_type-bpby,False,,,,,
use_code_muni,leftschema,vtx_type-bpby,False,,,,,
use_code_std_lps,leftschema,vtx_type-bpby,False,,,,,
use_code_std_desc_lps,leftschema,vtx_type-bpby,False,,,,,
use_code_std_ctgr_desc_lps,leftschema,vtx_type-bpby,False,,,,,
use_code_std_ctgr_lps,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_name_1,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_name_2,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_vesting_code,leftschema,vtx_type-bpby,False,,,,,
assessee_owner_vesting_code_desc,leftschema,vtx_type-bpby,False,,,,,
tax_acct_nbr,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_care_of_name,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_house_number,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_direction,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_street_name,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_mode,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_quadrant,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_addr,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_city,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_state,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_zip,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_zip4,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_unit_prefix,leftschema,vtx_type-bpby,False,,,,,
assessee_mail_unit_number,leftschema,vtx_type-bpby,False,,,,,
asmt_mail_carrier_code,leftschema,vtx_type-bpby,False,,,,,
asmt_owner_occupied,leftschema,vtx_type-bpby,False,,,,,
val_assd_land,leftschema,vtx_type-bpby,False,,,,,
val_assd_imprv,leftschema,vtx_type-bpby,False,,,,,
val_assd,leftschema,vtx_type-bpby,False,,,,,
asmt_year,leftschema,vtx_type-bpby,False,,,,,
ca_home_owners_exempt,leftschema,vtx_type-bpby,False,,,,,
tax_exempt_codes,leftschema,vtx_type-bpby,False,,,,,
tax_exempt_codes_desc,leftschema,vtx_type-bpby,False,,,,,
tax_rate_code_area,leftschema,vtx_type-bpby,False,,,,,
tax_src_code,leftschema,vtx_type-bpby,False,,,,,
tax_amount,leftschema,vtx_type-bpby,False,,,,,
tax_year,leftschema,vtx_type-bpby,False,,,,,
tax_year_delinq,leftschema,vtx_type-bpby,False,,,,,
asmt_lndr_name,leftschema,vtx_type-bpby,False,,,,,
asmt_rcdrs_book,leftschema,vtx_type-bpby,False,,,,,
asmt_rcdrs_doc_number,leftschema,vtx_type-bpby,False,,,,,
asmt_rcdrs_page,leftschema,vtx_type-bpby,False,,,,,
asmt_rcdrs_date_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_doc_type,leftschema,vtx_type-bpby,False,,,,,
aggr_acreage,leftschema,vtx_type-bpby,False,,,,,
asmt_version_id,leftschema,vtx_type-bpby,False,,,,,
aggr_group,leftschema,vtx_type-bpby,False,,,,,
aggr_lot_count,leftschema,vtx_type-bpby,False,,,,,
aggr_lot_width_median,leftschema,vtx_type-bpby,False,,,,,
asmt_val_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_sale_code,leftschema,vtx_type-bpby,False,,,,,
asmt_sale_code_desc,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_date_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_val_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_sale_code,leftschema,vtx_type-bpby,False,,,,,
legal_full,leftschema,vtx_type-bpby,False,,,,,
legal_1,leftschema,vtx_type-bpby,False,,,,,
